"","label","text","rule_name","comment_number","proposition_number"
0,"u","DOT's objective in setting this rule should be to ELIMINATE all bumping, not merely achieve some  reduction.","apr",522,0
1,"u","Regardless of how many caveats an airline might state in its contract terms, passengers neither want nor deserve a ticket for an oversold seat.","apr",522,1
2,"u","Bumping is a purely economic device that treats passengers as economic units devoid of humanity, like so many other aspects of airline behavior.","apr",522,2
3,"u","From that objective, it follows that there should be NO cap on compensation and that the financial penalty to the airline should be strong enough to prevent bumping, not just keep it at some arbitrarily ""acceptable"" level.","apr",522,3
4,"u","The 100% of the total ticket price for expected arrival within 2 hours later is reasonable.","apr",522,4
5,"u","Compensation for a longer delay should be the GREATER of 200% of the total ticket cost or the passenger's demonstrable out-of-pocket costs resulting from the delay  including any higher priced air ticket from the same or another carrier at the same class, and lodging, meals and incidentals at average prevailing prices in that metro area, and  with the obligation on the passenger to minimize those costs by arranging, with good faith help from the airline, an alternate flight or other means to get him or her to the destination as soon as reasonably practical.","apr",522,5
6,"u","I strongly support cash compensation for bumping passengers with zero-price tickets, e.g., those from frequent-flier programs.","apr",523,0
7,"u","But to assure adequate compensation and prevent airlines gaming such a requirement, compensation should be at the average  ticket price for that service class on that flight.","apr",523,1
8,"u","DOT's proposed rule using the lowest fare ticket would encourage airlines to bump those with zero-price tickets first,","apr",523,2
9,"u","since that cost would be lowest.","apr",523,3
10,"u","As long as they continue to offer tickets for miles, airlines should not be encouraged to treat passengers using those tickets as second-class when it comes to bumping.","apr",523,4
11,"u","The growing scarcity of actual seats for miles -- something that cries out for regulatory intervention -- is bad enough.","apr",523,5
12,"u","The proposals are certainly reasonable and should also be extended to include on-line booking services","apr",32,0
13,"u","since that could be a potential loophole for the airlines not to comply.","apr",32,1
14,"u","There is another growing problem that needs to be addressed, limitation on in-flight sales and solicitation.","apr",33,0
15,"u","One US carrier has mastered this art.","apr",33,1
16,"u","Flight attendants are on the intercom from take-off to landing selling everything from MasterCards to sandwiches.","apr",33,2
17,"e","I boarded USA in Miami in March","apr",33,3
18,"e","and it was the coldest airplance I've ever seen.","apr",33,4
19,"e","Moments later when the lady across the aisle asked for a blanket for her and her young child she was told they had no complimentary ones but could sell her two!","apr",33,5
